_id,description,name,paymentType
681364ba18f0d86734a6644f,"Cho phép khách hàng nhận hàng, kiểm tra và thanh toán trực tiếp với người giao hàng",Thanh toán khi nhận hàng(COD),cod
6813658c18f0d86734a66451,Cho phép khách hàng thanh toán bằng Vn Pay bảo gồm các thẻ ngân hàng,Thanh toán bằng Vn Pay,vnpay
